,open,close,high,low,volume
2018-03-08 01:00:00,8.9745,8.9988,9.0509,8.9744,42924.619999999995
2018-03-08 01:30:00,8.9979,8.7318,9.0158,8.5003,60019.399999999994
2018-03-08 02:00:00,8.7277,8.3945,8.88,8.2,110266.55000000002
2018-03-08 02:30:00,8.3755,8.36,8.5334,8.2,122060.28999999998
2018-03-08 03:00:00,8.3312,8.3907,8.4824,8.2203,101418.07
2018-03-08 03:30:00,8.3907,8.2415,8.4159,8.2,62230.749999999985
2018-03-08 04:00:00,8.2415,8.39,8.39,8.209,87590.2
2018-03-08 04:30:00,8.3946,8.6006,8.6198,8.39,34873.96000000001
2018-03-08 05:00:00,8.6005,8.5213,8.6006,8.4701,24084.83
2018-03-08 05:30:00,8.515,8.5223,8.5295,8.4,23004.920000000002
2018-03-08 06:00:00,8.5223,8.5245,8.5985,8.482,29544.38
2018-03-08 06:30:00,8.5106,8.4987,8.55,8.4855,20934.360000000004
2018-03-08 07:00:00,8.4904,8.6281,8.6924,8.45,32846.09
2018-03-08 07:30:00,8.6282,8.7114,8.7278,8.6,35915.970000000016
2018-03-08 08:00:00,8.7,8.6351,8.76,8.6069,41256.19999999999
2018-03-08 08:30:00,8.6294,8.6804,8.7003,8.6121,12956.280000000002
2018-03-08 09:00:00,8.6718,8.8345,8.8347,8.6505,19928.800000000003
2018-03-08 09:30:00,8.8346,8.822,8.89,8.8147,46279.09999999999
2018-03-08 10:00:00,8.8233,8.7839,8.8446,8.7024,35511.25000000001
2018-03-08 10:30:00,8.7737,8.7784,8.8024,8.6588,23052.529999999995
2018-03-08 11:00:00,8.7756,8.7634,8.8128,8.7294,17212.829999999998
2018-03-08 11:30:00,8.766,8.69,8.7701,8.6505,15177.300000000001
2018-03-08 12:00:00,8.6858,8.4324,8.7002,8.4178,35264.95
2018-03-08 12:30:00,8.4612,8.494,8.548,8.4111,31605.869999999995
2018-03-08 13:00:00,8.4941,8.4704,8.4941,8.3358,58054.020000000004
2018-03-08 13:30:00,8.4534,8.6363,8.6363,8.4503,44166.87999999999
2018-03-08 14:00:00,8.6362,8.49,8.64,8.4886,23397.31
2018-03-08 14:30:00,8.49,8.5144,8.6199,8.48,14727.76
2018-03-08 15:00:00,8.5001,8.6284,8.6297,8.5001,18311.63
2018-03-08 15:30:00,8.6284,8.6443,8.6443,8.5525,19374.960000000003
2018-03-08 16:00:00,8.6396,8.5669,8.65,8.5301,18266.88
2018-03-08 16:30:00,8.557,8.4,8.6132,8.28,57452.78999999999
2018-03-08 17:00:00,8.3999,8.2456,8.4109,8.0211,128433.56000000001
2018-03-08 17:30:00,8.2454,8.1875,8.28,8.1261,44347.609999999986
2018-03-08 18:00:00,8.1933,8.1682,8.2415,8.13,27920.479999999996
2018-03-08 18:30:00,8.1709,8.2068,8.2505,8.1378,31855.03
2018-03-08 19:00:00,8.1826,8.1416,8.2038,8.1302,17104.350000000002
2018-03-08 19:30:00,8.1421,8.2,8.23,8.14,8996.010000000002
2018-03-08 20:00:00,8.2,8.1897,8.2299,8.1595,14711.359999999999
2018-03-08 20:30:00,8.183,8.23,8.2499,8.16,13151.06
2018-03-08 21:00:00,8.23,8.4021,8.4127,8.23,34822.56
2018-03-08 21:30:00,8.4002,8.3286,8.43,8.23,33341.85999999999
2018-03-08 22:00:00,8.3361,8.2072,8.343,8.2034,17927.909999999996
2018-03-08 22:30:00,8.2199,8.1257,8.2199,8.1053,30614.410000000003
2018-03-08 23:00:00,8.1109,8.2737,8.2796,8.1028,18281.219999999998
2018-03-08 23:30:00,8.2731,8.2703,8.28,8.21,15730.710000000003
2018-03-09 00:00:00,8.2703,8.2562,8.31,8.1861,21054.58
2018-03-09 00:30:00,8.2517,8.1979,8.2562,8.15,20000.569999999996
2018-03-09 01:00:00,8.1844,8.1394,8.1979,8.109,15026.459999999997
2018-03-09 01:30:00,8.1522,7.8776,8.17,7.8289,64591.14000000001
2018-03-09 02:00:00,7.8664,7.7134,7.9146,7.5701,95496.40000000001
2018-03-09 02:30:00,7.7134,7.7395,7.7793,7.6575,27518.43
2018-03-09 03:00:00,7.7394,7.66,7.82,7.6252,29736.040000000005
2018-03-09 03:30:00,7.6592,7.7177,7.77,7.6537,22552.980000000003
2018-03-09 04:00:00,7.7137,7.39,7.7327,7.38,67840.76
2018-03-09 04:30:00,7.39,7.354,7.4737,7.34,52311.10999999999
2018-03-09 05:00:00,7.3423,7.3901,7.4999,7.27,43942.21
2018-03-09 05:30:00,7.3902,7.2249,7.4149,7.2009,58521.56
2018-03-09 06:00:00,7.2249,7.3166,7.3279,7.1,60016.29
2018-03-09 06:30:00,7.3166,7.5013,7.5359,7.3003,48982.37000000002
2018-03-09 07:00:00,7.5004,7.511,7.5555,7.4321,44532.549999999996
2018-03-09 07:30:00,7.511,7.4557,7.5555,7.3998,30410.139999999992
2018-03-09 08:00:00,7.4447,7.4762,7.5098,7.3564,29266.649999999994
2018-03-09 08:30:00,7.4874,7.39,7.5376,7.351,34895.200000000004
2018-03-09 09:00:00,7.3951,7.3409,7.448,7.3,44383.1
2018-03-09 09:30:00,7.3316,7.1807,7.3409,7.06,50581.38
2018-03-09 10:00:00,7.1883,7.306,7.3471,7.08,70051.07
2018-03-09 10:30:00,7.32,7.3688,7.39,7.25,19690.72
2018-03-09 11:00:00,7.367,7.4059,7.4778,7.3591,28937.399999999994
2018-03-09 11:30:00,7.4054,7.5994,7.6233,7.3594,59935.27
2018-03-09 12:00:00,7.5994,7.633,7.68,7.5604,34812.44000000001
2018-03-09 12:30:00,7.64,7.726,7.76,7.5694,31173.89000000001
2018-03-09 13:00:00,7.725,7.6198,7.77,7.6095,27060.73
2018-03-09 13:30:00,7.6198,7.6999,7.73,7.616,22505.280000000006
2018-03-09 14:00:00,7.6994,7.88,7.88,7.6755,31490.359999999997
2018-03-09 14:30:00,7.8701,7.984,8.0,7.8446,59527.46999999999
2018-03-09 15:00:00,7.9979,7.7361,8.0,7.71,76417.53000000003
2018-03-09 15:30:00,7.7318,7.773,7.8975,7.7209,32165.500000000004
2018-03-09 16:00:00,7.773,7.4585,7.8737,7.45,74568.01999999999
2018-03-09 16:30:00,7.46,7.423,7.5935,7.3704,53349.660000000025
2018-03-09 17:00:00,7.44,7.6413,7.6457,7.4335,40692.66999999999
2018-03-09 17:30:00,7.6413,7.61,7.6499,7.5333,21219.420000000002
2018-03-09 18:00:00,7.6076,7.7057,7.7419,7.6011,24344.839999999997
2018-03-09 18:30:00,7.7057,7.7541,7.8,7.6927,40585.77000000001
2018-03-09 19:00:00,7.7568,7.6129,7.7571,7.56,29411.01
2018-03-09 19:30:00,7.6127,7.6742,7.69,7.5807,16469.79
2018-03-09 20:00:00,7.6801,7.6931,7.73,7.6462,9279.619999999997
2018-03-09 20:30:00,7.698,7.795,7.8219,7.6089,24305.16
2018-03-09 21:00:00,7.7949,7.8431,7.8431,7.7421,18762.210000000003
2018-03-09 21:30:00,7.8464,7.8042,7.9,7.7801,21284.58000000001
2018-03-09 22:00:00,7.8096,7.8643,7.8954,7.7867,20725.909999999996
2018-03-09 22:30:00,7.8726,8.0397,8.0876,7.8637,56484.700000000004
2018-03-09 23:00:00,8.049,8.1205,8.1787,7.95,39588.799999999996
2018-03-09 23:30:00,8.1196,8.2807,8.3421,8.1093,103112.93
2018-03-10 00:00:00,8.2951,8.21,8.3387,8.1749,57573.28999999999
2018-03-10 00:30:00,8.21,8.2237,8.244,8.12,49319.22
2018-03-10 01:00:00,8.22,8.2569,8.2838,8.22,30154.819999999992
2018-03-10 01:30:00,8.2568,8.2433,8.3,8.2433,42309.95
2018-03-10 02:00:00,8.2494,8.1062,8.2715,8.1,33653.98000000001
2018-03-10 02:30:00,8.1062,8.2043,8.21,8.1,32134.73
2018-03-10 03:00:00,8.2058,8.0622,8.2058,8.0046,46104.40999999999
2018-03-10 03:30:00,8.0557,8.1445,8.16,7.95,35615.00000000001
2018-03-10 04:00:00,8.1517,8.2057,8.2059,8.1072,28817.73
2018-03-10 04:30:00,8.2057,8.2049,8.2059,8.1665,23316.070000000007
2018-03-10 05:00:00,8.2049,8.1698,8.2049,8.1289,21531.630000000005
2018-03-10 05:30:00,8.1643,8.2042,8.2059,8.1501,27643.620000000006
2018-03-10 06:00:00,8.2021,8.335,8.3498,8.2021,51558.299999999996
2018-03-10 06:30:00,8.3349,8.3225,8.3406,8.3,20102.1
2018-03-10 07:00:00,8.3225,8.2685,8.33,8.23,36446.67
2018-03-10 07:30:00,8.27,8.2313,8.327,8.1744,31351.239999999994
2018-03-10 08:00:00,8.2214,8.2192,8.2897,8.1956,18054.930000000004
2018-03-10 08:30:00,8.2191,8.2131,8.29,8.1985,17486.799999999996
2018-03-10 09:00:00,8.213,8.1298,8.213,8.0903,40843.23
2018-03-10 09:30:00,8.1296,8.1001,8.1828,8.1001,21025.450000000004
2018-03-10 10:00:00,8.1001,8.1135,8.1381,8.0104,38553.53999999999
2018-03-10 10:30:00,8.1199,8.1999,8.2,8.0965,41310.189999999995
2018-03-10 11:00:00,8.1894,8.1702,8.2013,8.11,43582.869999999995
2018-03-10 11:30:00,8.1702,8.2042,8.255,8.1702,51871.75000000001
2018-03-10 12:00:00,8.2095,8.1893,8.215,8.1329,47913.32999999999
2018-03-10 12:30:00,8.1893,8.1297,8.1998,8.098,54826.49
2018-03-10 13:00:00,8.1388,8.1286,8.1406,8.0641,37659.45999999999
2018-03-10 13:30:00,8.1285,8.0933,8.1622,8.0739,81491.82999999999
2018-03-10 14:00:00,8.1007,8.25,8.255,8.0933,83536.48
2018-03-10 14:30:00,8.25,8.21,8.2538,8.2,68582.84999999999
2018-03-10 15:00:00,8.223,8.2438,8.284,8.2001,73186.82999999999
2018-03-10 15:30:00,8.2438,8.146,8.2438,8.14,80295.88999999998
2018-03-10 16:00:00,8.1461,8.2026,8.2288,8.1459,49925.9
2018-03-10 16:30:00,8.1958,8.2055,8.2121,8.1774,68802.76000000001
2018-03-10 17:00:00,8.2055,8.09,8.2095,8.09,78643.65000000001
2018-03-10 17:30:00,8.09,7.9617,8.09,7.9,69807.0
2018-03-10 18:00:00,7.9719,7.84,7.9739,7.7371,89850.21
2018-03-10 18:30:00,7.84,7.9309,7.97,7.7949,62005.32000000001
2018-03-10 19:00:00,7.9146,7.8591,7.9294,7.8183,54996.39
2018-03-10 19:30:00,7.8589,7.9368,7.95,7.8332,53257.07000000001
2018-03-10 20:00:00,7.9368,7.8089,7.9604,7.8003,49401.04999999999
2018-03-10 20:30:00,7.8001,7.6924,7.8806,7.6924,50393.91000000001
2018-03-10 21:00:00,7.6927,7.6834,7.7151,7.6201,61701.549999999996
2018-03-10 21:30:00,7.7013,7.6631,7.7013,7.63,50348.13999999999
2018-03-10 22:00:00,7.6649,7.6534,7.674,7.5553,27247.899999999998
2018-03-10 22:30:00,7.6358,7.7302,7.789,7.6355,31363.490000000005
2018-03-10 23:00:00,7.7302,7.637,7.739,7.621,21104.41
2018-03-10 23:30:00,7.637,7.65,7.6927,7.592,26689.96
2018-03-11 00:00:00,7.65,7.4759,7.65,7.434,38687.939999999995
2018-03-11 00:30:00,7.4697,7.3904,7.5337,7.2,74225.33
2018-03-11 01:00:00,7.3992,7.4,7.5566,7.3752,77005.01
2018-03-11 01:30:00,7.4,7.39,7.4327,7.34,54737.42999999999
2018-03-11 02:00:00,7.3882,7.4702,7.5,7.3158,29638.83
2018-03-11 02:30:00,7.4721,7.5407,7.5498,7.4702,38984.159999999996
2018-03-11 03:00:00,7.5303,7.3969,7.5496,7.3852,27970.609999999997
2018-03-11 03:30:00,7.4195,7.4851,7.5,7.385,24791.870000000003
2018-03-11 04:00:00,7.4851,7.5672,7.57,7.4591,19155.539999999997
2018-03-11 04:30:00,7.5698,7.5529,7.6,7.52,23125.47
2018-03-11 05:00:00,7.5529,7.6279,7.6279,7.49,17751.3
2018-03-11 05:30:00,7.6073,7.7298,7.73,7.6,20787.09
2018-03-11 06:00:00,7.73,7.6866,7.76,7.6803,24253.43
2018-03-11 06:30:00,7.6866,7.699,7.7303,7.6116,17519.240000000005
2018-03-11 07:00:00,7.6986,7.6858,7.7134,7.61,21865.07
2018-03-11 07:30:00,7.6857,7.6283,7.6859,7.6,17444.839999999997
2018-03-11 08:00:00,7.6283,7.668,7.6981,7.6041,19507.25
2018-03-11 08:30:00,7.667,7.7,7.7143,7.6567,18772.37
2018-03-11 09:00:00,7.7101,7.6361,7.7102,7.6176,15706.41
2018-03-11 09:30:00,7.6377,7.5494,7.6377,7.5147,25422.77999999999
2018-03-11 10:00:00,7.5538,7.5422,7.5841,7.5011,26473.079999999994
2018-03-11 10:30:00,7.5598,7.6085,7.626,7.5263,13434.820000000002
2018-03-11 11:00:00,7.6225,7.6097,7.626,7.5824,16609.269999999997
2018-03-11 11:30:00,7.6072,7.931,7.95,7.5967,60855.15000000001
2018-03-11 12:00:00,7.9286,8.03,8.1,7.8536,93515.74
2018-03-11 12:30:00,8.0265,8.0199,8.0777,7.9666,101858.76
2018-03-11 13:00:00,8.02,8.0525,8.1607,8.0102,123012.9
2018-03-11 13:30:00,8.0466,8.004,8.08,7.9111,96395.68999999999
2018-03-11 14:00:00,7.9869,8.0,8.0699,7.93,99980.45
2018-03-11 14:30:00,8.0016,8.0,8.0191,7.9211,93613.15999999999
2018-03-11 15:00:00,7.983,8.0082,8.0436,7.9676,95343.04
2018-03-11 15:30:00,7.99,7.838,8.0284,7.8102,103467.98000000003
2018-03-11 16:00:00,7.838,8.0,8.0298,7.8204,109073.48
2018-03-11 16:30:00,8.0,7.9566,8.04,7.9424,93141.40999999997
2018-03-11 17:00:00,7.9626,8.2,8.21,7.9565,116247.07
2018-03-11 17:30:00,8.205,8.3133,8.39,8.15,115606.22
2018-03-11 18:00:00,8.3133,8.3157,8.4,8.2914,136797.94
2018-03-11 18:30:00,8.3144,8.327,8.3563,8.26,95643.3
2018-03-11 19:00:00,8.3387,8.3243,8.38,8.281,55341.990000000005
2018-03-11 19:30:00,8.3216,8.3698,8.4,8.31,44399.75
2018-03-11 20:00:00,8.3689,8.2502,8.3689,8.1884,59283.38999999999
2018-03-11 20:30:00,8.2474,8.3063,8.3406,8.2204,47709.159999999996
